task_id,perm_id,variance,avg_jaccard,num_tools
20,4,3.8899999999999997,0.30925925925925923,8
21,0,0.65,0.5666666666666667,8
21,1,2.04,0.3933333333333333,8
21,2,1.8400000000000003,0.29518518518518516,8
21,3,1.36,0.2388888888888889,8
21,4,9.65,0.3048148148148148,8
22,0,2.45,0.29074074074074074,8
22,1,0.8900000000000002,0.34074074074074073,8
22,2,0.45,0.43333333333333335,8
22,3,0.8,0.28888888888888886,8
22,4,1.6900000000000002,0.3088888888888889,8
23,0,0.45,0.43333333333333335,8
23,1,1.65,0.34259259259259256,8
23,2,0.96,0.337037037037037,8
23,3,0.6400000000000002,0.6296296296296297,8
23,4,2.4100000000000006,0.31407407407407406,8
24,0,2.8099999999999996,0.2777777777777778,8
24,1,2.84,0.43544973544973536,8
24,2,3.810000000000001,0.3423280423280423,8
24,3,1.0,0.4444444444444444,8
24,4,1.05,0.4888888888888889,8
25,0,4.24,0.3247089947089947,8
25,1,4.24,0.26476190476190475,8
25,2,1.7600000000000002,0.2922222222222222,8
25,3,1.7600000000000005,0.2644444444444444,8
25,4,3.4900000000000007,0.2569312169312169,8
26,0,1.5600000000000003,0.5074074074074074,8
26,1,4.2,0.2815343915343915,8
26,2,5.96,0.2625925925925926,8
26,3,3.4099999999999993,0.28746031746031747,8
26,4,8.16,0.2917989417989418,8
27,0,2.3600000000000003,0.20037037037037034,8
27,1,3.2399999999999993,0.23333333333333334,8
27,2,1.4099999999999997,0.2655555555555556,8
27,3,1.9600000000000002,0.33925925925925926,8
27,4,1.21,0.2833333333333333,8
28,0,2.2400000000000007,0.3814814814814814,8
28,1,6.239999999999998,0.31111111111111117,8
28,2,2.04,0.35888888888888887,8
28,3,0.96,0.4666666666666667,8
28,4,1.8900000000000001,0.3866666666666667,8
29,0,1.25,0.4,8
29,1,3.8,0.286031746031746,8
29,2,1.6400000000000001,0.37777777777777777,8
29,3,2.8099999999999996,0.3033862433862434,8
29,4,4.05,0.28888888888888886,8
30,0,0.41,0.6500000000000001,8
30,1,0.6100000000000001,0.37777777777777777,8
30,2,4.41,0.4489682539682539,8
30,3,6.0,0.2570899470899471,8
30,4,4.610000000000001,0.3324074074074074,8
31,0,1.65,0.40222222222222215,8
31,1,4.4,0.29126984126984123,8
31,2,4.840000000000001,0.2722222222222222,8
31,3,6.0,0.3422222222222222,8
